d
"(:Document {NumberWords: 280, Identifier: bg_CURLICAT_bg-bnc-01351, PublicationDate: N/A, NumberTokens: 313, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: POLITICS, NumberParagraphs: 7, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 14, URL: http//setimes.com/})"
"(:Document {NumberWords: 160, Identifier: bg_CURLICAT_bg-bnc-2002121908979, PublicationDate: 2002-12-19, NumberTokens: 183, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|GEOGRAPHY|FINANCE, NumberParagraphs: 4, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Международната общност удовлетворена от ситуацията в Македония, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 160, Identifier: bg_CURLICAT_bg-bnc-2002121920208, PublicationDate: 2002-12-19, NumberTokens: 188, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: NEWS, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Американски дипломат критикува намесата на съдебната власт в приватизационния процес в България, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 86, Identifier: bg_CURLICAT_bg-bnc-2002121927069, PublicationDate: 2002-12-19, NumberTokens: 100, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EDUCATION AND COMMUNICATIONS|INTERNATIONAL RELATIONS|LAW, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Хъватският парламент одобри програма за присъединяване към ЕС, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 110, Identifier: bg_CURLICAT_bg-bnc-2002121932912, PublicationDate: 2002-12-19, NumberTokens: 125, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Косово и Албания укрепват сътрудничеството помежду си, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 405, Identifier: bg_CURLICAT_bg-bnc-2002121934664, PublicationDate: 2002-12-19, NumberTokens: 459, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: N/A, NumberParagraphs: 9, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Успехът на президентските избори в Черна гора е под въпрос, NumberSentences: 21, URL: http//setimes.com/})"
"(:Document {NumberWords: 103, Identifier: bg_CURLICAT_bg-bnc-2002122011344, PublicationDate: 2002-12-20, NumberTokens: 115, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: POLITICS|GEOGRAPHY|FINANCE, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Албанският външен министър обсъжда икономическото сътрудничество с представители на Косово, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 115, Identifier: bg_CURLICAT_bg-bnc-2002122012196, PublicationDate: 2002-12-20, NumberTokens: 128, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|INTERNATIONAL RELATIONS|LAW|EUROPEAN UNION, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Румънският парламент моли членовете на ЕС да ускорят разширяването, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 444, Identifier: bg_CURLICAT_bg-bnc-2002122015864, PublicationDate: 2002-12-20, NumberTokens: 514, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 10, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Гърция очерта приоритетите на своето председателство на ЕС, NumberSentences: 18, URL: http//setimes.com/})"
"(:Document {NumberWords: 386, Identifier: bg_CURLICAT_bg-bnc-2002122017217, PublicationDate: 2002-12-20, NumberTokens: 419, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: FINANCE|BUSINESS AND COMPETITION, NumberParagraphs: 12, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Икономически обзор, NumberSentences: 25, URL: http//setimes.com/})"
"(:Document {NumberWords: 92, Identifier: bg_CURLICAT_bg-bnc-2002122018517, PublicationDate: 2002-12-20, NumberTokens: 108, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Гърция получи първия модернизиран самолет F-4E, NumberSentences: 6, URL: http//setimes.com/})"
"(:Document {NumberWords: 133, Identifier: bg_CURLICAT_bg-bnc-2002122019253, PublicationDate: 2002-12-20, NumberTokens: 149, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: N/A, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Македонският президент направи ежегодното си обръщение към парламента, NumberSentences: 6, URL: http//setimes.com/})"
"(:Document {NumberWords: 86, Identifier: bg_CURLICAT_bg-bnc-2002122031578, PublicationDate: 2002-12-20, NumberTokens: 100, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Генералният щаб инспектира българския контингент в КФОР, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 389, Identifier: bg_CURLICAT_bg-bnc-2002122033107, PublicationDate: 2002-12-20, NumberTokens: 436, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|LAW, NumberParagraphs: 9, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Президентско вето помрачава перспективите за Ердоган, NumberSentences: 19, URL: http//setimes.com/})"
"(:Document {NumberWords: 77, Identifier: bg_CURLICAT_bg-bnc-2002122201861, PublicationDate: 2002-12-22, NumberTokens: 93, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|SCIENCE|EUROPEAN UNION|SOCIAL QUESTIONS, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Хърватското правителство подписа споразумения за статута на религиозните общества, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 84, Identifier: bg_CURLICAT_bg-bnc-2002122206401, PublicationDate: 2002-12-22, NumberTokens: 98, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Турският премиер ще отстоява правата на турските кипърци, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 106, Identifier: bg_CURLICAT_bg-bnc-2002122207258, PublicationDate: 2002-12-22, NumberTokens: 122, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: България разби канал на фалшификатори, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 144, Identifier: bg_CURLICAT_bg-bnc-2002122214306, PublicationDate: 2002-12-22, NumberTokens: 166, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: NEWS, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Бигман Бойкот от страна на македонската опозиция би предизвикал международна изолация, NumberSentences: 8, URL: http//setimes.com/})"
"(:Document {NumberWords: 153, Identifier: bg_CURLICAT_bg-bnc-2002122214436, PublicationDate: 2002-12-22, NumberTokens: 172, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|SCIENCE, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Холандия блокира споразумението за присъединяване на Хърватска към ЕС заради случая Бобетко, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 83, Identifier: bg_CURLICAT_bg-bnc-2002122216020, PublicationDate: 2002-12-22, NumberTokens: 95, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Босненското президентство номинира нов министър-председател, NumberSentences: 6, URL: http//setimes.com/})"
"(:Document {NumberWords: 115, Identifier: bg_CURLICAT_bg-bnc-2002122219637, PublicationDate: 2002-12-22, NumberTokens: 132, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: N/A, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Броят на гласоподавателите в неделните избори за президент на Черна гора остава критичен, NumberSentences: 6, URL: http//setimes.com/})"
"(:Document {NumberWords: 462, Identifier: bg_CURLICAT_bg-bnc-2002122300179, PublicationDate: 2002-12-23, NumberTokens: 535, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|EUROPEAN UNION, NumberParagraphs: 10, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Дел Понте критикува Белград и иска сръбският президент да отговаря в Хага след изтичане на мандата му през януари, NumberSentences: 20, URL: http//setimes.com/})"
"(:Document {NumberWords: 175, Identifier: bg_CURLICAT_bg-bnc-2002122301801, PublicationDate: 2002-12-23, NumberTokens: 200, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|INTERNATIONAL RELATIONS, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Референдумът в Турция за конституционните поправки е с неясни перспективи, NumberSentences: 8, URL: http//setimes.com/})"
"(:Document {NumberWords: 166, Identifier: bg_CURLICAT_bg-bnc-2002122302574, PublicationDate: 2002-12-23, NumberTokens: 189, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|EDUCATION AND COMMUNICATIONS, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Български опозиционни лидери са били подслушвани от разузнавателните служби, NumberSentences: 9, URL: http//setimes.com/})"
"(:Document {NumberWords: 98, Identifier: bg_CURLICAT_bg-bnc-2002122313644, PublicationDate: 2002-12-23, NumberTokens: 110, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|BUSINESS AND COMPETITION, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Централният комитет на македонската ВМРО-ДПМНЕ одобри промени в устава на партията, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 26, Identifier: bg_CURLICAT_bg-bnc-2002122318448, PublicationDate: 2002-12-23, NumberTokens: 28, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|GEOGRAPHY, NumberParagraphs: 1, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Учредителната сесия на Камарата на народите в парламента на ФБиХ се отлага, NumberSentences: 2, URL: http//setimes.com/})"
"(:Document {NumberWords: 133, Identifier: bg_CURLICAT_bg-bnc-2002122318451, PublicationDate: 2002-12-23, NumberTokens: 151, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: FINANCE, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Хърватският министър-председател оцени високо икономическата и политическата стабилност на страната, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 68, Identifier: bg_CURLICAT_bg-bnc-2002122328433, PublicationDate: 2002-12-23, NumberTokens: 89, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|BUSINESS AND COMPETITION, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Гръцките власти съобщиха за нови арести, свързани с терористите от 17 ноември, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 383, Identifier: bg_CURLICAT_bg-bnc-2002122331688, PublicationDate: 2002-12-23, NumberTokens: 445, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: N/A, NumberParagraphs: 10, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Изборите за президент на Черна гора се провалиха, NumberSentences: 21, URL: http//setimes.com/})"
"(:Document {NumberWords: 102, Identifier: bg_CURLICAT_bg-bnc-2002122332746, PublicationDate: 2002-12-23, NumberTokens: 117, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Мета Отношенията между Албания и Югославия съществено са се подобрили през 2002 г., NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 77, Identifier: bg_CURLICAT_bg-bnc-2002122333382, PublicationDate: 2002-12-23, NumberTokens: 91, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|SOCIAL QUESTIONS, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Румънският президент иска промени в кабинета, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 104, Identifier: bg_CURLICAT_bg-bnc-2002122400227, PublicationDate: 2002-12-24, NumberTokens: 118, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: N/A, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Доклад определя сътрудничеството между граничните полиции на България и Румъния като успешно, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 117, Identifier: bg_CURLICAT_bg-bnc-2002122408775, PublicationDate: 2002-12-24, NumberTokens: 133, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Босненският паламент одобри Терзич за министър-председател, NumberSentences: 6, URL: http//setimes.com/})"
"(:Document {NumberWords: 94, Identifier: bg_CURLICAT_bg-bnc-2002122412953, PublicationDate: 2002-12-24, NumberTokens: 113, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: INDUSTRY|ENVIRONMENT|SOCIAL QUESTIONS|GEOGRAPHY|BUSINESS AND COMPETITION|TRANSPORT, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Гръцки алпинист ще забие Олимпийския флаг на Южния полюс, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 133, Identifier: bg_CURLICAT_bg-bnc-2002122413033, PublicationDate: 2002-12-24, NumberTokens: 153, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|BUSINESS AND COMPETITION, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Изборите за президент на Черна гора вероятно ще бъдат повторени през януари, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 70, Identifier: bg_CURLICAT_bg-bnc-2002122416506, PublicationDate: 2002-12-24, NumberTokens: 82, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Корупцията е най-голямото предизвикателство пред Румъния за интеграцията й в ЕС, NumberSentences: 3, URL: http//setimes.com/})"
"(:Document {NumberWords: 291, Identifier: bg_CURLICAT_bg-bnc-2002122421051, PublicationDate: 2002-12-24, NumberTokens: 340, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: FINANCE|BUSINESS AND COMPETITION, NumberParagraphs: 7, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Ашдаун нареди продажбата на банка в БиХ поради разкрития за злоупотреби, NumberSentences: 11, URL: http//setimes.com/})"
"(:Document {NumberWords: 100, Identifier: bg_CURLICAT_bg-bnc-2002122425705, PublicationDate: 2002-12-24, NumberTokens: 113, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: TRADE|ECONOMICS, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Хърватска и Югославия подписаха споразумение за свободна търговия, NumberSentences: 6, URL: http//setimes.com/})"
"(:Document {NumberWords: 84, Identifier: bg_CURLICAT_bg-bnc-2002122430907, PublicationDate: 2002-12-24, NumberTokens: 99, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|LAW, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Във вторник се очаква постигане на споразумение по закона за конституционната харта на Югославия, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 102, Identifier: bg_CURLICAT_bg-bnc-2002122433886, PublicationDate: 2002-12-24, NumberTokens: 117, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Мета Подкрепата на Италия за интеграцията на Албания в ЕС е решаваща, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 101, Identifier: bg_CURLICAT_bg-bnc-2002122600430, PublicationDate: 2002-12-26, NumberTokens: 117, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: BUSINESS AND COMPETITION|FINANCE|GEOGRAPHY, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Ердоган се срещна с руския президент Путин, NumberSentences: 6, URL: http//setimes.com/})"
"(:Document {NumberWords: 88, Identifier: bg_CURLICAT_bg-bnc-2002122602794, PublicationDate: 2002-12-26, NumberTokens: 97, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|EUROPEAN UNION|FINANCE, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Централната банка на Гърция ще подпише Меморандум за сътрудничество с Югославия, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 81, Identifier: bg_CURLICAT_bg-bnc-2002122604434, PublicationDate: 2002-12-26, NumberTokens: 94, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Югославската конституционна комисия ще приключи работа до края на седмицата, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 52, Identifier: bg_CURLICAT_bg-bnc-2002122604814, PublicationDate: 2002-12-26, NumberTokens: 63, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 1, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Трима войника от СФОР ранени при катастрофа на хеликоптер в БиХ, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 98, Identifier: bg_CURLICAT_bg-bnc-2002122609882, PublicationDate: 2002-12-26, NumberTokens: 114, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: BUSINESS AND COMPETITION|EUROPEAN UNION|GEOGRAPHY|EMPLOYMENT AND WORKING CONDITIONS, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Българският премиер направи оценка на работата на кабинета, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 102, Identifier: bg_CURLICAT_bg-bnc-2002122615660, PublicationDate: 2002-12-26, NumberTokens: 119, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Бомби в Македония и Косово убиха двама души, NumberSentences: 6, URL: http//setimes.com/})"
"(:Document {NumberWords: 202, Identifier: bg_CURLICAT_bg-bnc-2002122617675, PublicationDate: 2002-12-26, NumberTokens: 228, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|SOCIAL QUESTIONS, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Културен преглед, NumberSentences: 16, URL: http//setimes.com/})"
"(:Document {NumberWords: 119, Identifier: bg_CURLICAT_bg-bnc-2002122621474, PublicationDate: 2002-12-26, NumberTokens: 139, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|SCIENCE, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: ДСИ ще настоява за паспорти на албански език на срещата на участниците в Охридското мирно споразумение, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 166, Identifier: bg_CURLICAT_bg-bnc-2002122624880, PublicationDate: 2002-12-26, NumberTokens: 185, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Кощуница иска преразглеждане на избирателните закони в Сърбия и Черна гора, NumberSentences: 8, URL: http//setimes.com/})"
"(:Document {NumberWords: 102, Identifier: bg_CURLICAT_bg-bnc-2002122628839, PublicationDate: 2002-12-26, NumberTokens: 114, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|EDUCATION AND COMMUNICATIONS|EUROPEAN UNION, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Илиеску определи интеграцията в ЕС и НАТО като приоритети на Румъния през 2003 г., NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 120, Identifier: bg_CURLICAT_bg-bnc-2002122633221, PublicationDate: 2002-12-26, NumberTokens: 137, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Турция удължава срока за използване на нейна въздушна база от САЩ, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 80, Identifier: bg_CURLICAT_bg-bnc-2002122700444, PublicationDate: 2002-12-27, NumberTokens: 92, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY|LAW, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Партията на Кощуница обяви извънредните избори в Сърбия за първостепенна задача, NumberSentences: 4, URL: http//setimes.com/})"
"(:Document {NumberWords: 121, Identifier: bg_CURLICAT_bg-bnc-2002122704348, PublicationDate: 2002-12-27, NumberTokens: 135, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Българското Министерство на вътрешните работи иска реформи в разузнавателните служби, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 44, Identifier: bg_CURLICAT_bg-bnc-2002122707526, PublicationDate: 2002-12-27, NumberTokens: 46, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 1, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Съветът по отбрана на Република Сръбска одобри окончателния доклад по случая с износа на оръжия за Ирак, NumberSentences: 2, URL: http//setimes.com/})"
"(:Document {NumberWords: 438, Identifier: bg_CURLICAT_bg-bnc-2002122708672, PublicationDate: 2002-12-27, NumberTokens: 502, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|LAW, NumberParagraphs: 8, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Сръбският премиер заяви, че напускащият поста си президент ще отговаря в Хага, NumberSentences: 20, URL: http//setimes.com/})"
"(:Document {NumberWords: 367, Identifier: bg_CURLICAT_bg-bnc-2002122711062, PublicationDate: 2002-12-27, NumberTokens: 400, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: FINANCE|EUROPEAN UNION, NumberParagraphs: 11, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Икономически обзор, NumberSentences: 22, URL: http//setimes.com/})"
"(:Document {NumberWords: 379, Identifier: bg_CURLICAT_bg-bnc-2002122712310, PublicationDate: 2002-12-27, NumberTokens: 439, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW|FINANCE, NumberParagraphs: 9, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Освобождаването на незаконно заетите жилища е част от стратегията на международната общност за изпълнение на законите за собствеността в БиХ, NumberSentences: 17, URL: http//setimes.com/})"
"(:Document {NumberWords: 145, Identifier: bg_CURLICAT_bg-bnc-2002122721700, PublicationDate: 2002-12-27, NumberTokens: 166, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW, NumberParagraphs: 3, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Македонските политици напредват с изпълнението на Охридския мирен договор, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 143, Identifier: bg_CURLICAT_bg-bnc-2002122723474, PublicationDate: 2002-12-27, NumberTokens: 162, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: LAW, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Турският парламент отхвърли президентското вето върху поправките в конституцията, NumberSentences: 7, URL: http//setimes.com/})"
"(:Document {NumberWords: 77, Identifier: bg_CURLICAT_bg-bnc-2002122727079, PublicationDate: 2002-12-27, NumberTokens: 87, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: TRANSPORT, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Албанският министър на отбраната официално откри реконструирания мост на река Буна, NumberSentences: 5, URL: http//setimes.com/})"
"(:Document {NumberWords: 79, Identifier: bg_CURLICAT_bg-bnc-2002122734677, PublicationDate: 2002-12-27, NumberTokens: 90, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: SCIENCE|GEOGRAPHY|SOCIAL QUESTIONS, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: Атинската архиепископия ще води религиозните служби на различни езици, NumberSentences: 4, URL: http//setimes.com/})"
